,,Holiday,Problem,US Day - April,,,,,US Ev. - May,,,US Day - May,,,,,,US/FR - July,,,,,,US Ev. - July,,
Tue.,  07/21,,FALSE,,,,,,,,,49,B2.3 Natural Language Processing,Dmitry,B2.6 Computer Vision for Autonomous Cars,Mustafa,  07/21,12,B1.1.1-4 ML & Regressions,Fanbo,A2.3 ML APIs,Fanbo,  07/21,9,A1.4.2 Maths for AI - Probabilities,Sami
Wed.,  07/22,,FALSE,,,,,,,,,50,B2.3 Natural Language Processing,Dmitry,B2.6 Computer Vision for Autonomous Cars,Mustafa,  07/22,13,B1.1.1-4 ML & Regressions,Sami,B1.1.5-6 ML - Supervised - NN & Cie,Fanbo,  07/22,10,A1.4.3 Maths for AI - Stats & Tests,Sami
Thu.,  07/23,,FALSE,,,,,,,,,51,B2.3 Natural Language Processing,Dmitry,"D1 Interview questions, ML",Mustafa,  07/23,14,B1.1.5-6 ML - Supervised - NN & Cie,Fanbo,B1.1.5-6 ML - Supervised - NN & Cie,Fanbo,  07/23,11,A1.4.3 Maths for AI - Stats & Tests,Sami
Fri.,  07/24,,FALSE,,,,,,,,,51,B2.4 Speech representation & recognition,Dmitry,"D1 Interview questions, ML",Mustafa,  07/24,15,B1.1.7-8 ML decision trees,Sami,B1.1.7-8 ML decision trees,Sami,  07/24,,,
Sat.,  07/25,,FALSE,,,,,,,,,,,,,,  07/25,,,,,,  07/25,12,"A1.4.4,5 Statistics in Python",Sami
Mon.,  07/27,,FALSE,,,,,,,,,52,B2.4 Speech representation & recognition,Dmitry,Personal Project,PP,  07/27,16,A1.7 Algorithmic & Complexity,Mustafa,A1.7 Algorithmic & Complexity,Mustafa,  07/27,,,
Tue.,  07/28,,FALSE,,,,,,,,,53,B2.4 Speech representation & recognition,Dmitry,Personal Project,PP,  07/28,17,A1.7 Algorithmic & Complexity,Mustafa,A1.7 Algorithmic & Complexity,Mustafa,  07/28,13,B1.1.1-4 ML & Regressions,Sami
Wed.,  07/29,,FALSE,,,,,,,,,54,"D2 Interview questions, ML / algorithms",Dmitry,B2.5 Chatbot for medical diagnosis,Mustafa,  07/29,18,B1.1.9-11 ML Unsupervised Learning,Fanbo,B1.1.9-11 ML Unsupervised Learning,Fanbo,  07/29,14,B1.1.1-4 ML & Regressions,Sami
Thu.,  07/30,,FALSE,,,,,,,,,55,"D2 Interview questions, algorithms",Dmitry,B2.5 Chatbot for medical diagnosis,Mustafa,  07/30,19,B1.3.1-3 Tensorflow Intro,Fanbo,B1.3.1-3 Tensorflow Intro,Fanbo,  07/30,15,B1.1.1-4 ML & Regressions,Sami
Fri.,  07/31,,FALSE,,,,,,,,,56,A2.2 AWS,Quang,A2.2 AWS,Quang,  07/31,20,B1.3.1-3 Tensorflow Intro,Fanbo,"B1.3.4-7 Tensorflow 2.0, Estimators & Apache Spark",Mustafa,  07/31,,,
Sat.,  08/01,,FALSE,,,,,,,,,,,,,,  08/01,,,,,,  08/01,16,A2.3 ML APIs,Sami
Mon.,  08/03,,FALSE,,,,,,,,,57,"D2 Interview questions, algorithms",Dmitry,Personal project,PP,  08/03,21,"B1.3.4-7 Tensorflow 2.0, Estimators & Apache Spark",Mustafa,"B1.3.4-7 Tensorflow 2.0, Estimators & Apache Spark",Mustafa,  08/03,,,
Tue.,  08/04,,FALSE,,,,,,,,,58,Personal Project,PP,Personal project,PP,  08/04,22,A1.2 Git / GitHub,Fanbo,A1.2 Git / GitHub,Fanbo,  08/04,17,B1.1.5-6 ML - Supervised - NN & Cie,Sami
Wed.,  08/05,,FALSE,,,,,,,,,59,Team Project Presentation,Dmitry,Team Project Presentation,Dmitry,  08/05,23,B1.2 ML Workshop,Fanbo,B1.2 ML Workshop,Fanbo,  08/05,18,B1.1.5-6 ML - Supervised - NN & Cie,Sami
Thu.,  08/06,,FALSE,,,,,,,,,,,,,,  08/06,24,"A2.1 Big Data archi, Hadoop & Spark",Mustafa,"A2.1 Big Data archi, Hadoop & Spark",Mustafa,  08/06,19,B1.1.5-6 ML - Supervised - NN & Cie,Sami
Fri.,  08/07,,FALSE,,,,,,,,,,,,,,  08/07,25,"A2.1 Big Data archi, Hadoop & Spark",Mustafa,"A2.1 Big Data archi, Hadoop & Spark",Mustafa,  08/07,,,
Sat.,  08/08,,FALSE,,,,,,,,,,,,,,  08/08,,,,,,  08/08,20,A1.5 R,Mustafa
Mon.,  08/10,,FALSE,,,,,,,,,,,,,,  08/10,26,A2.4 Spark,Mustafa,A2.4 Spark,Mustafa,  08/10,,,
Tue.,  08/11,,FALSE,,,,,,,,,,,,,,  08/11,27,A2.4 Spark,Mustafa,Personal Project,PP,  08/11,21,B1.1.7-8 ML decision trees,Sami
Wed.,  08/12,,FALSE,,,,,,,,,,,,,,  08/12,28,B1.4.1-2 Deep Learning - ANN,Fanbo,B1.4.1-2 Deep Learning - ANN,Fanbo,  08/12,22,B1.1.7-8 ML decision trees,Sami
Thu.,  08/13,,FALSE,,,,,,,,,,,,,,  08/13,29,B1.4.3-4 Deep Learning - CNN,Fanbo,B1.4.3-4 Deep Learning - CNN,Fanbo,  08/13,23,B1.1.7-8 ML decision trees,Sami
Fri.,  08/14,,FALSE,,,,,,,,,,,,,,  08/14,30,B1.4.5-6 Deep Learning - RNN,Fanbo,B1.4.5-6 Deep Learning - RNN,Fanbo,  08/14,,,
Sat.,  08/15,FR,FALSE,,,,,,,,,,,,,,  08/15,,,,,,  08/15,24,A1.6 Data Engineering with R,Mustafa
Mon.,  08/17,,FALSE,,,,,,,,,,,,,,  08/17,31,B1.5 Customer Segmentation,Fanbo,Personal Project,PP,  08/17,,,
Tue.,  08/18,,FALSE,,,,,,,,,,,,,,  08/18,32,B1.5 Customer Segmentation,Fanbo,B1.5 Customer Segmentation,Fanbo,  08/18,25,A1.7 Algorithmic & Complexity(1/2),Sami
Wed.,  08/19,,FALSE,,,,,,,,,,,,,,  08/19,33,B1.5 Customer Segmentation,Fanbo,B1.5 Customer Segmentation,Fanbo,  08/19,26,A1.7 Algorithmic & Complexity(1/2),Sami
Thu.,  08/20,,FALSE,,,,,,,,,,,,,,  08/20,34,B1.4.7-9 Deep Learning - Auto-encoders,Mustafa,B1.4.7-9 Deep Learning - Auto-encoders,Mustafa,  08/20,27,A1.7 Algorithmic & Complexity(1/2),Sami
Fri.,  08/21,,FALSE,,,,,,,,,,,,,,  08/21,35,Personal Project,PP,B1.4.7-9 Deep Learning - Auto-encoders,Mustafa,  08/21,,,
Sat.,  08/22,,FALSE,,,,,,,,,,,,,,  08/22,,,,,,  08/22,28,Personal Project,Sami
Mon.,  08/24,,FALSE,,,,,,,,,,,,,,  08/24,36,Personal Project,PP,B1.4.7-9 Deep Learning - Auto-encoders,Mustafa,  08/24,,,
Tue.,  08/25,,FALSE,,,,,,,,,,,,,,  08/25,37,A2.2 AWS,Quang,A2.2 AWS,Quang,  08/25,29,B1.1.9-11 ML Unsupervised Learning,Sami
Wed.,  08/26,,FALSE,,,,,,,,,,,,,,  08/26,38,B1.6 Fraud Detection,Mustafa,B1.6 Fraud Detection,Mustafa,  08/26,30,B1.1.9-11 ML Unsupervised Learning,Sami
Thu.,  08/27,,FALSE,,,,,,,,,,,,,,  08/27,39,B1.4.10-11 Timeseries,Fanbo,B1.4.10-11 Timeseries,Fanbo,  08/27,31,Personal project,Sami
